State,Institution,Name,MNI,AFO,CA,CUI,Geographic Area,County
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,2,0,N/A,1,Wisconsin,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,1,0,N/A,1,,
WI,Milwaukee Public Museum,MilwaukeePublicMuseum,29,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,Wisconsin,Brown
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,Wisconsin,Brown
WI,Neville Public Museum,NevillePublic,1,5,N/A,1,Wisconsin,Brown
WI,Neville Public Museum,NevillePublic,3,2,N/A,1,Wisconsin,Brown
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,Wisconsin,Brown
WI,Neville Public Museum,NevillePublic,18,23,N/A,1,Wisconsin,Door
WI,Neville Public Museum,NevillePublic,1,1,N/A,1,Wisconsin,Door
WI,Neville Public Museum,NevillePublic,1,4,N/A,1,Wisconsin,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,3,1,N/A,1,,
WI,Neville Public Museum,NevillePublic,2,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,2,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,2,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,4,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,4,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,2,0,N/A,1,,
WI,Neville Public Museum,NevillePublic,1,0,N/A,1,,
WI,Oshkosh Public Museum,OshkoshPublic,1,0,N/A,1,Wisconsin,GreenLake
WI,Oshkosh Public Museum,OshkoshPublic,1,9,N/A,1,Wisconsin,GreenLake
WI,Oshkosh Public Museum,OshkoshPublic,7,6,N/A,1,Wisconsin,Jefferson
WI,Oshkosh Public Museum,OshkoshPublic,27,113,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,2,1,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,2,0,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,1,1,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,1,0,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,10,15,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,1,1,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,2,7,N/A,1,Wisconsin,Winnebago
WI,Oshkosh Public Museum,OshkoshPublic,1,0,N/A,1,Wisconsin,
WI,Oshkosh Public Museum,OshkoshPublic,1,0,N/A,1,,
WI,Oshkosh Public Museum,OshkoshPublic,4,3,N/A,1,,
WI,Oshkosh Public Museum,OshkoshPublic,6,0,N/A,1,,
WI,Oshkosh Public Museum,OshkoshPublic,1,2,N/A,1,,
WI,Oshkosh Public Museum,OshkoshPublic,4,0,N/A,1,,
WI,Oshkosh Public Museum,OshkoshPublic,2,0,N/A,1,,
WI,"U.S. Dept. of Interior, FWS, Trempealeau National Wildlife Refuge",,3,0,N/A,1,Wisconsin,Trempealeau
WI,"U.S. Dept. of Interior, FWS, Upper Mississippi River National Wildlife Refuge",USinteriorWi,3,0,1,N/A,Wisconsin,LaCrosse
WI,"U.S. Dept. of Interior, FWS, Upper Mississippi River National Wildlife Refuge",USinteriorWi,1,0,1,N/A,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,2,1,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,8,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,11,2,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,3,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,3,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,3,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,3,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,2,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,LaCrosse
WI,"Univ. of Wisconsin, La Crosse",UWLaCrosse,1,0,N/A,1,Wisconsin,Vernon
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,1,0,N/A,1,Iowa,Jackson
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,6,0,N/A,1,Iowa,Plymouth
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,4,1,N/A,1,Missouri,
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,2,0,N/A,1,New Mexico,
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,1,0,N/A,1,Wisconsin,Dane
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,1,0,N/A,1,Wisconsin,Dane
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,5,0,N/A,1,Wisconsin,Grant
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,1,0,N/A,1,Wisconsin,Jefferson
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,8,0,N/A,1,,
WI,"Univ. of Wisconsin, Madison, Dept. of Anthropology",UniWiscMadison,1,0,N/A,1,,
WI,"Univ. of Wisconsin, Milwaukee, Dept. of Anthropology",UniMil,1,1,N/A,1,Indiana,Clark
WI,"Univ. of Wisconsin, Milwaukee, Dept. of Anthropology",UniMil,1,0,N/A,1,Wisconsin,Clark
WI,"Univ. of Wisconsin, Milwaukee, Dept. of Anthropology",UniMil,7,0,N/A,1,Wisconsin,Door
WI,"Univ. of Wisconsin, Milwaukee, Dept. of Anthropology",UniMil,2,1,N/A,1,Wisconsin,FondDuLac
WI,"Univ. of Wisconsin, Milwaukee, Dept. of Anthropology",UniMil,1,0,N/A,1,Wisconsin,Grant
